Country,Location,Activity,Fatal Y/N,Species
USA,"Isle of Palms, Charleston County",Swimming,N,Unknown
AUSTRALIA,Elliston,Surfing,Y,White shark
USA,"Fort Pierce, St. Lucie County",Sitting,N,"Bull shark, 4'"
USA,"Kualoa, Oahu",Kayak fishing,N,Tiger shark
CUBA,Puerto Escondido,Spearfishing,Y,Bull shark
USA,"Davis Reef, Islamorada, Monroe County",Spearfishing,N,Unknown
SOUTH AFRICA,"Supertubes, Jeffreys Bay",Surfing,N,Unknown
SOUTH AFRICA,Mngcibe Beach,Diving for crayfish,N,Unknown
AUSTRALIA,"Yallingup, Busselton",Swimming,N,1m shark
AUSTRALIA,"Kurrajong Campground, Exnouth",Snorkeling,N,Unknown
USA,"Anna Maria Island, Manatee County",Spearfishing,N,"Bull shark, 6'"
AUSTRALIA,Lucy's Beach,Surfing,N,"Bronze whaler shark, 1.5 m"
USA,"Virginia Key, Monroe County",Windsurfing,N,Unknown
USA,Off Boca Raton. Palm Beach County,Kayak fishing,N,Unknown
USA,"Kewalos, Oahu",Surfing,N,"Tiger shark, 8'-10'"
USA,"Blue Fish Channel, Key West, Monroe County",Kite-Surfing,N,Unknown
CUBA,Playa Majana ,Fishing,N,Unknown
AUSTRALIA,Delta Island,Wading,N,Unknown
USA,Anaehoomalu Bay,Swimming,N,Blacktip reef shark 5'
MEXICO,Cancún,Swimming,N,Authorities report injury caused bya barracuda
AUSTRALIA,Cheynes Beach ,Surf-sking,N,5m to 6m shark
BRAZIL,Piedade Beach,Swimming,N,Unknown
BRAZIL,Piedade Beach,Swimming,N,Unknown
BRAZIL,Praia de Milagres,Surfing,N,Unknown
NEW CALEDONIA,"Château-Royal Beach , Noumea",Swimming,F,Bull shark
USA,"Jupiter Island, Martin County",Surfing,N,Unknown
ARGENTINA,Chubut Province,,N,Unknown
FIJI,Ura Estate,Spearfishing,N,Unknown
AUSTRALIA,Freemantle,Swimming,Y,Bull shark
AUSTRALIA,Lady Musgrave Island,Fishing,N,A small shark
NEW CALEDONIA,"Chateau Royal Beach, Noumea",Swimming,N,Bull shark
USA,"Outer Mole, Fort Zachrry Tatlor Historic Park, Key West, Monroe County",Swimming,N,Unknown
MeXICO,Tobari Bay,Diving with  surface-supplied air,Y,Unknown
USA,70 miles off Pensacola,Spearishing,N,Mako shark
South Africa,Protea Banks,Diving/Shark Feeding,N,Blacktip
USA,Anaeho'imalu Bay,Swimming,N,Tiger  shark?
