Country,Location,Activity,Fatal Y/N,Species
USA,In Gulf of Mexico 17 miles off Weeki Wachee ,Spearfishing,N,4' shark
USA,"Flagler Beach, Flagler County",Surfing,N,Possibly a sand shark
USA,"Flagler Beach, Flagler County",Surfing,N,Possibly a sand shark
BAHAMAS,Powell Cay,Spearfishing,N,Possibly a Caribbean reef shark
BAHAMAS,Walkers Cay,Spearfishing,N,Unknown
BRAZIL,"Manguinhos, Ilha Feia, Búzios",Windsurfing,N,3.7m  to 4.2 m white shark
AUSTRALIA,"Carrara, Nerang River",Swimming,N,a small shark
AUSTRALIA,Whitsunday Passage,Scuba diving,N,"Tiger shark, 2m to 3m"
USA,"Sunset Beach, O'ahu",,UNKNOWN,Unknown
AUSTRALIA,"Iron Cove, Sydney",Rowing ,N,Unknown
AUSTRALIA,"Whitehaven Beach, Whitsundays Island",Snorkeling,N,1.8 m to 2.1 m [6' to 7'] shark
AUSTRALIA,Geraldton,Windsurfing,Y,"Tiger shark, 4.5 m [14'9""]"
REUNION,la Pointe-au-Sel,Spearfishing,Y,Bull shark
AUSTRALIA,"Seal Rocks, Phillip Island",Watching seals,N,White shark
AUSTRALIA,Coolum Beach,Surfing,UNKNOWN,Unknown
SOUTH AFRICA,"Duck Pond, Sardina Bay near Port Elizabeth",Surfing,N,White shark
NEW CALEDONIA,L'llot Maetre,Attempting to attract dolphins,N,Unknown
USA,"Salmon Creek Beach, Sonoma County",Surfing,N,3 m to 5 m [10' to 16.5'] white shark
USA,"Coral Cove Park, Palm Beach County",Surfing,N,Unknown
BRAZIL,Barra de Jangada,Surfing,N,Unknown
BRAZIL,Barra de Jangada,Surfing,N,Unknown
OKINAWA,Boragawa Beach,Swimming or snorkeling,Y,Unknown
USA,"Dillon Beach, Marin County",Surfing,N,5.5 m to 6 m [18' to 20'] white shark
USA,"Cocoa Beach, Brevard County",Surfing,N,1.2 m [4'] shark
USA,"North Salmon Creek Beach, Sonoma County",Surfing,N,5 m [16.5'] white shark
USA,"New Smyrna Beach, Volusia County",Swimming,N,Unknown
NEW ZEALAND,Waihere Bay,Diving for abalone,N,White shark
USA,"New Smyrna Beach, Volusia County",Surfing / Swimming,N,"""a young shark"""
USA,"Behune Beach, Volusia County",Standing,N,Unknown
USA,"Bethune Beach, Volusia County",Sitting on surfboard,N,Unknown
USA,"Garden City Beach, Horry County",Boogie boarding,N,Shark involvement not confirmed
SOUTH AFRICA,Hibberdene,Spearfishing,N,White shark
USA,"Paukukalo, Maui",Body Boarding,N,"Tiger shark, 2.4 m [8']"
USA,"Bird Rock, Tomales Point",Free diving for abalone,N,6 m [20'] white shark
USA,"Bayshore Garden, Sarasota Bay, Sarasota County",Wade fishing,N,1.8 m to 2.1 m [6' to 7'] hammerhead shark
USA,"Wiggins Pass, Collier County",Standing,N,Unknown
OKINAWA,Hirara City,Swimming,Y,5 m [16.5'] white shark
EGYPT / ISRAEL,"1 km off the mouth of Marsa Bereika, north of Ras Mohammed",Free diving with a pod of dolphins,N,said to involve an oceanic whitetip shark
USA,"Truro (Cape Cod), Barnstable County",Swimming,N,6' shark
USA,"New Smyrna Beach, Volusia County",Swimming,N,Unknown
USA,"Nakalele Point, Maui",,UNKNOWN,Unknown
USA,"New Smyrna Beach, Volusia County",,N,Unknown
USA,"Public Beach, Siesta Key, Sarasota County",Standing,N,5' to 6' shark
USA,"Fripp Island, Beaufort County",Body surfing,N,Unknown
AUSTRALIA,"Suicide Point, Point Leo",Surfing,N,4 m white shark
SOUTH AFRICA,LaMercy,Surfing,N,Unknown
SOUTH AFRICA,"The Steps, Wilderness",Surfing,N,2.5 m [8.25'] white shark
AUSTRALIA,"Wreck of paddle steamer, Koputai, 6 km off Bondi Beach",Tech diving ,Y,Shark involvement prior to death suspected but not confirmed
USA,"South of Ponce Inlet, Volusia County",Surfing,N,1.2 m [4'] shark
USA,"Shark Shallows, Ponce Inlet, Volusia County",Surfing,N,60 cm to 90 cm [2' to 3'] blacktip or spinner shark
USA,"La'ie Point, O'ahu",,UNKNOWN,Unknown
AUSTRALIA,Mona Vale,Swimming,N,Wobbegong shark
AUSTRALIA,Mona Vale,Swimming,N,Wobbegong shark
BRAZIL,"Boa Viagem, Recife",Swimming,Y,Unknown
AUSTRALIA,Heron Island,Swimming breast stoke,N,Tiger shark
AUSTRALIA,Lord Howe Island,Fishing in knee-deep water,N,1.5 m [5'] shark
AUSTRALIA,"Charles Street Wharf, Parramatta River",Dived naked into the water on a bet,N,Bronze whaler shark
USA,St. Louis,Swimming in fish tank,N,nurse shark
PAPUA NEW GUINEA,Madang,,Y,Unknown
PAPUA NEW GUINEA,Madang,,N,Unknown
PAPUA NEW GUINEA,Madang,Diving ,Y,Unknown
DOMINICAN REPUBLIC,Boeing 757 enroute from Porta Plata,Boeing 757 enroute from Porta Plata plunged into the sea,Y,Unknown
AUSTRALIA,"Ned's Beach, Lord Howe Island",Swimming,N,"""reef shark"""
USA,"Florida Keys, Monroe County",Wading,N,"Nurse shark, 0.9 m  [3']"
AUSTRALIA,"Brown's Inlet, Broadwater",Swimming,N,Bronze whaler shark
USA,"Ka’eleki’I Point, Maui",Swimming with mask & snorkel,N,Possibly a tiger shark
AUSTRALIA,"Mutton Bird Island, Albany",,UNKNOWN,Unknown
AUSTRALIA,Eight-mile reef off Port Kembla,Chumming for sharks,N,"Mako shark, 4.3 m [14']"
REUNION,Embouchure de l'étang de Saint Paul,Surfing,Y,"Tiger shark, 300-kg [662-lb]"
USA,Southwest of O'ahu,,UNKNOWN,Unknown
USA,"Ha'ena, Kaua'i",,N,Shark involvement not confirmed
AUSTRALIA,Great Keppel Island,,N,Unknown
USA,"North Beach, St. Lucie County",Surfing,N,Unknown
AUSTRALIA,"Pialba, Hervey Bay",Playing / standing,N,4 m shark
USA,"Ormond Beach, Volusia County",Surfing,N,1.2 m to 1.5 m [4' to 5']   shark
USA,"Crescent Beach, St. Augustine, St. Johns County",Surfing,N,1.5 to 1.8 m [5' to 6'] shark
USA,"North Beach, Hutchinson Island, St. Lucie County",Surfing,N,Unknown
USA,"Davenport Landing, Santa Cruz County",Windsurfing,N,4 m [13'] white shark
USA,"Matanzas Bay Inlet, St. Johns County",Surfing,N,1.8 m [6'] shark
USA,"Daytona Beach, Volusia County",Swimming,N,Unknown
USA,"Alligator Reef, off Islamorada, Monroe County",Scuba diving,Y,3 m to 3.7 m [10' to 12'] bull shark
AUSTRALIA,"Honeymoon Island, near Hopetown",Abalone diving using Hookah (near calving whales),Y,White shark
USA,"Shelter Cove, Humboldt County",Abalone diving using Hookah (resting on the surface),N,3 m to 4 m [10' to 13'] white shark
USA,"Bald Head Island, Brunswick County",Swimming,N,Shark involvement not confirmed
USA,"North Beach Inlet, St. Lucie County",Surfing,N,1.2 m to 1.5 m [4' to 5'] shark
USA,"Myrtle Beach, Horry County",On a float,N,Unknown
BRAZIL,"Boa Viagem, Recife",Surfing,N,Unknown
USA,"Crescent Beach, St. Johns County",Surfing,N,5' shark
USA,"Ponce de Leon Inlet, Volusia County",Surfing,N,"""a small shark"""
USA,"Off Masonboro Island, New Hanover County",Swimming,N,1.2 m to 1.5 m [4' to 5'] shark
USA,"Wrightsville Beach, New Hanover County",Swimming ,N,"""sand"" shark"
USA,"Ponce de Leon Inlet, Volusia County",Surfing,N,"""small shark"""
USA,Cape Lookout Bight,Diving,N,Two 1.2 m to 1.5 m [4' to 5'] sharks
TONGA,Near Tapana Island,Fishing,N,"""small shark"""
USA,"Daytona Beach, Volusia County ",Wading,N,1.8 m [6'] shark
USA,"Emerald Isle, Carteret County",Swimming,N,Invalid
USA,"Ponce Inlet, Volusia County",Surfing,N,Unknown
USA,"Ocean Lakes Campground, south of Myrtle Beach, Horry County","""Riding waves on a board""",N,Blacktip shark
USA,"Ponce de Leon Inlet, Volusia County ",Body boarding,N,1.2 m to 1.5 m [4' to 5'] shark
TONGA,Neiafu,Fishing,N,Invalid
USA,"Carmel, Monterey County",Diving,N,Invalid
USA,"New Smyrna Beach, Volusia County",Surfing,N,Unknown
USA,"New Smyrna Beach, Volusia County",Surfing,N,Unknown
USA,"New Smyrna Beach, Volusia County",Surfing,N,Unknown
USA,"New Smyrna Beach, Volusia County",Standing,N,Unknown
USA,"Pawleys Island, Georgetown County",,N,Unknown
USA,"Pawleys Island, Georgetown County",Swimming,N,Unknown
USA,"South Jetty, New Smyrna Beach, Volusia County",Body boarding,N,Unknown
BRAZIL,Candeias,Surfing,Y,Unknown
SOUTH AFRICA,Gonubie River Mouth,Surfing,N,Unknown
USA,Port Aransas,Surfing,N,Unknown
USA,"Cat Island, Harrison County",Fishing,N,Blacktip shark
USA,"Off 29th Avenue, Myrtle Beach, Horry County",Jumped off surfboard & landed on the shark,N,Unknown
USA,"Bluefish Cove, Pt. Lobos State Park, Monterey County",Scuba diving (ascending using scooter),N,6 m [20'] white shark
USA,"LaJolla Shores, San Diego County",Kayaking,N,White shark (tooth fragment recovered)
USA,"Tybee Island, Chatham County",Playing / jumping,N,"""sand"" shark"
USA,"Garden City Beach, Horry County",Surfing,N,Unknown
USA,"Jensen Beach Park, Martin County",Swimming,N,1.8 m [6'] shark
USA,"Tiger Shores Beach, Martin County",Swimming,N,6' shark
USA,"Opposite Grand Wailea Resort, Wailea, Maui",Swimming,N,"Tiger shark, 3.7 m [12']"
HONG KONG,First Beach,Swimming,Y,Though to involve a tiger shark
HONG KONG,Sheung Sze Wan Beach,Swimming,Y,1.8 m to 2.1 m [6' to 7'] shark
HONG KONG,Sai Kung Beach,Diving,Y,Unknown
USA,"Vero Beach, Indian River County",Surfing,N,Possibly a bull shark
FIJI,Waya Island,Sleeping in anchored boat,Y,3.7 m [12'] shark
AUSTRALIA,"Bernier Island, Shark Bay",,UNKNOWN,Unknown
SOUTH KOREA,Jangkodo Island,Diving for abalone,Y,4 m shark
USA,"New Smyrna Beach, Volusia County",,N,Invalid
USA,"Ormond Beach, Volusia County",,N,Unknown
AUSTRALIA,"Honeysuckle Point, Eden",Diving,N,Wobbegong shark
JAPAN,Atsumi Peninsula,Scuba diving for bivalves,Y,6 m [20'] white shark
AUSTRALIA,"Clark Island, Sydney Harbour",Surf skiing,N,Unknown
AUSTRALIA,Cactus Beach,Surfing,N,"Bronze whaler shark, 2 m"
BRAZIL,"Praia do Olho D'Água, São Luis",Swimming,Y,Unknown
SOUTH AFRICA,Kidd’s Beach,Swimming,N,Raggedtooth shark
SOUTH AFRICA,Isipingo,Swimming,Y,"Tiger shark, 1.8 m [6']"
BRAZIL,Piedade,Surfing,N,
AUSTRALIA,Gladstone Reef,Snorkeling,N,Leopard shark
USA,Carolina Beach,Scuba diving,N,Invalid
USA,"Pawleys Island, Georgetown County",,UNKNOWN,Unknown
SOUTH AFRICA,Mossel Bay,Body boarding,N,5.5 m [18'] white shark
USA,"Kinikini, Mana, Kaua'i","Surfing, sitting on board",N,Unknown
BRAZIL,Piedade,Surfing,N,Unknown
BRAZIL,Paiva,Surfing,N,Unknown
VANUATU,Aniwa Island,,UNKNOWN,Unknown
USA,1200 miles east of New Jersey,,Y,Unknown
AUSTRALIA,"Hinchinbrook Channel, Queensland",Murder victim,N,Invalid
USA,"San Miguel Island, Santa Barbara County",Commercial diver (submerged or treading water),Y,5 m to 5.5 m [16.5' to 18'] white shark
BRAZIL,Paiva,Surfing,Y,Unknown
SOUTH AFRICA,Mossel Bay,Spearfishing,N,"Raggedtooth shark, 2.7 m [9']"
USA,"Off the Hanalei River, Kaua'i","Surfing, paddling seawards",N,2.7 m [9'] shark
USA,"Kealia Beach, Kaua'i",Surfing,N,Unknown
BRAZIL,Piedade,Surfing,N,Unknown
BRAZIL,Piedade,Surfing,N,Unknown
USA,"Bill Baggs Cape Florida State Recreation Area, Miami-Dade County",Wading,N,Thought to involve a small sand shark
USA,"Indialantic, Brevard County",Surfing,N,Unknown
USA,"North Forest Beach, near Hilton Head, Beaufort County",Swimming,N,Unknown
USA,"Short Sand Beach, Oswald West State Park",Surfing,N,5 m [16.5'] white shark
USA,Florida Straits,Adrift on refugee raft,Y,Unknown
USA,Makaha Surf Beach,Jumped off rocks into white water,N,Small shark
JAPAN,Tatsugo-cho,,N,Unknown
BRAZIL,"Boa Viagem, Recife",Surfing,N,Unknown
BRAZIL,"Boa Viagem, Recife",Swimming,Y,Unknown
REUNION,Barachois,Windsurfing,Y,3 to 3.5 m [10' to 11.5'] bull shark
SOUTH AFRICA,"Nahoon Beach, East London",Surfing,Y,4 m [13'] white shark
SOUTH AFRICA,"Nahoon Beach, East London",Surfing,N,4 m [13'] white shark
BRAZIL,"Boa Viagem, Recife",Surfing,N,Unknown
USA,"New Smyrna Beach, Volusia County",Surfing,N,"""small shark"""
BAHAMAS,Freeport,Spearfishing,N,1.8 m [6'] shark
USA,"Ponce Inlet, Volusia County",Surfing,N,Unknown
USA," Daytona Beach, Volusia County",Surfing,N,1.2 m [4'] spinner shark
USA,"3 miles east of Jacksonville Beach, Duval County",Spearfishing,N,2.1 m [7'] shark
USA,"Spessard Holland Park, Melbourne Beach, Brevard County",Wading,N,1.2 m [4'] shark
USA,"New Smyrna Beach, Volusia County",Wading,N,Unknown
USA,"New Smyrna Beach, Volusia County",Surfing,N,>1.8 m [6'] shark
USA,"Sunset Cliffs, San Diego, San Diego County",,N,Invalid
REUNION,Lieu-dit Cayenne,,Y,"3 m [10'], 200-kg [441-lb] bull shark"
BAHAMAS,Rum Cay,Wading,N,2' to 3' shark
USA,"Miami Beach, Dade County",Freediving for seashells,N,Unknown
SOUTH AFRICA,Arniston,Spearfishing,Y,4.9 m white shark
CHILE,300 miles east of Easter Island,Swimming alongside NOAA research vessel Discoverer,N,"3.6 m [11'9""] white shark"
CHILE,300 miles East of Easter Island,Swimming alongside NOAA research vessel Discoverer,N,"3.6 m [11'9""] white shark"
BRAZIL,"Boa Viagem, Recife",Surfing,N,2 m shark
SOUTH AFRICA,Saxon Reef,Spearfishing,N,3 m [10'] shark
USA,"Juno Beach, Palm Beach County",Surfing,N,1.2 m [4'] shark
USA,Kailua Bay,Fishing,N,Unknown
SOUTH AFRICA,Beachview Holiday Resort,Surfing,N,3 m [10'] white shark
NEW CALEDONIA,Cap Goulvain,Fishing,Y,Unknown
BRAZIL,Piedade,Swimming,N,Unknown
USA,"Velzyland, north shore of O'ahu",Surfing,Y,Tiger shark
SOUTH AFRICA,"Nahoon Beach, East London",Windsurfing,N,Unknown
AUSTRALIA,Albany,Fishing,N,White shark
AUSTRALIA,"Katana Downs Reach, Brisbane River","Swimming, after falling off towed kneeboard",N,1.5 m shark
SOUTH AFRICA,Hibberdene,Swimming ,N,"1.3 m [4'3""] shark"
USA,"Flagler Beach, Flagler County",Surfing,N,Blacktip shark
USA,Waipo,Surfing,Y,"On 11-Jan-1994, his remains washed ashore. A 2.4 m [8'] tiger shark thought to be involved"
USA,"North Beach Jetty, St Lucie County",Swimming,N,Unknown
AUSTRALIA, A pearl  farm in Roebuck Bay,Hookah diving,Y,Tiger shark caught 6 days later with diver’s remains in its gut
USA,"Horners, Wailua, Kaua'i","Surfing, paddling shorewards",N,Unknown
SOMALIA,Mogadishu,Stamding,Y,Unknown
USA,"""Bunkers"" Eureka, Humboldt County",Surfing,N,4 m to 5 m [13' to 16.5'] white shark
USA,"Treasure Shores Beach, Indian River County",Swimming,N,3 m [10'] bull shark
USA,"Goat Rock, Bodega Bay, Sonoma County?",Kayaking,N,>6 m [20'] white shark
USA,"Mouth of Wallua River, Kaua'i",Surfing,N,Tiger shark
SOMALIA,Mogadishu,Swimming,Y,Unknown
SOUTH AFRICA,Danger Point,Spearfishing,N,3 m [10'] white shark
EL SALVADOR,near El Cocal Beach,Surfing,N,3.7 m [12'] white shark
EL SALVADOR,El Cocal Beach,Surfing,Y,Unknown
USA,"Huguenot Memorial Park, Duval County",Wading,N,3' shark
USA,"Little Talbot Island, Jacksonville, Duval County",,N,Unknown
SPAIN,"Playa de las Arenas, Valencia ",Swimming,N,1.2 m [4'] shark
BAHAMAS,"Matinella Reef, 15 to 20 miles west of Walkers Cay",Spearfishing,N,1.8 m [6'] blacktip shark or Caribbean reef shark
USA,"Bethune Beach, Volusia County",Surfing,N,Unknown
USA,"Paukukalo, Maui","Surfing, paddling seawards",N,Unknown
USA,Between Santa Cruz Island and Santa Barbara,Watching the shark feeding on a dead pinniped,N,">6 m white shark, according to witnesses"
USA,Pamlico Sound,Riding floatation device,N,Bull shark
AUSTRALIA,Off Rottnest Island,Fishing,N,6 m [20'] white shark
USA,"Abalone Point, Westport Union Landing, Mendocino County",Free diving for abalone (ascending),N,5.5 m to 6 m [18' to 20']  white shark
NEW CALEDONIA,Ile Moro,Fishing for lobsters,Y,Unknown
EL SALVADOR,La Libertad,Oyster fishing,Y,White shark?
SOUTH AFRICA,"Pollock Beach, Port Elizabeth",Surfing,N,4 m [13'] white shark
USA,"Daytona Beach, Volusia County",Playing,N,"1.8 m to 2.4 m [6' to 8'] shark, tooth fragments recovered"
BRAZIL,"Boa Viagem, Recife",Swimming,Y,Unknown
REUNION,Cap de la Marianne,Body boarding,N,Unknown
HONG KONG,Silverstrand,Swimming,Y,Unknown
MEXICO,"Santa Rosa Shallows, Cozumel",Scuba diving,Y,Unknown
USA,"Goats Island (Moku’auia Island), Malaekahana State Recreation Area, Laie, O'ahu",Paddling on surfboard or body board,N,Thought to involve a tiger shark
AUSTRALIA,"Julian Rocks, Byron Bay",Scuba diving,Y,Remains recovered from 5.5 m [18'] white shark
AUSTRALIA,Tenth Island (King Island),Scuba diving at seal colony,Y,5 m [16.5'] white shark
HONG KONG,Sheung Sz Wan,Swimming,Y,Unknown
USA,"Hamstead, Pender County",Swimming,N,6' shark
HONG KONG,Silverstrand,,Y,Unknown
SOMALIA,"Arroyo Beach, Mogadishu",Swimming,Y,Unknown
AUSTRALIA,Barren Joey Island,Spearfishing,N,Invalid
BRAZIL,Paiva,Surfing,N,Unknown
USA,"Singer Island, Riviera Beach, Palm Beach County",Floating on his back,N,Unknown
JAPAN,Iyo,,N,Possiby white shark
USA,"Paradise Bay (next to Wailua Bay), Maui",Paddling on surfboard,N,"Tiger shark, 3.7 m [12'], (tooth fragment recovered from wound)"
USA,"Linda Mar Beach, Pedro Point, San Mateo County",Free diving & spearfishing (ascending),N,White shark
NEW CALEDONIA,Île de Casey,Swimming,N,Unknown
TONGA,Between 'Ata and Tongapatu,Sea disaster,N,Unknown
TONGA,Between 'Ata and Tongapatu,Sea disaster,N,1.5 m [5'] shark
AUSTRALIA,Mooloolaba,Fishing,N,"Bronze whaler shark, 1.5 m"
BRAZIL,Piedade,Body boarding,N,Unknown
AUSTRALIA,"Line Reef, northeast of Hamilton Island, Whitsundays",Spearfishing,N,1.5 m shark
CARIBBEAN SEA,Off Dominican Republic,   ,N,Two 3 m [10'] oceanic whitetip sharks
USA,"Bastendorf Beach, Coos County",Surfing,N,6 m [20'] white shark
SOMALIA,Mogadishu,,Y,Unknown
TONGA,Between Ofu & Fafini Islands,Spearfishing,N,Unknown
USA,"Key West, Monroe County",Snorkeling,N,Lemon shark
USA,"Honomuni, Moloka'i","Standing in waist-deep water, helping his father tend a gill net containing dead fish",N,"Tiger shark, 2.4 m [8']"
USA,"Chun's Reef, Laniakea, O'ahu",Lying on surfboard,N,"Tiger shark, 3 m to 4.9 m [10' to 16']"
USA,"San Onofre, San Diego County ",Spearfishing / free diving,N,"Mako shark, 1.8 m [6']"
USA,"Brevard County, a mile north of Sebastian Inlet",Surfing,N,6' to 7' blacktip shark
USA,"Ano Nuevo, San Mateo County",Kayaking,N,5 m to 6 m white shark
USA,"San Nicholas Island, Santa Barbara County",Scuba diving (submerged),N,Unidentified shark
USA,"North Jetty Park, Fort Pierce, St Lucie County",Surfing,N,Unknown
USA,"Kea'au Beach Park, O'ahu",Body boarding,Y,"Tiger shark, 3 m to 3.7 m [10' to 12']"
USA,"Castle Rock, San Miguel Island, Santa Barbara County",Hookah diving for sea urchins,N,2.5 m [8.25'] white shark
USA,"Lanaikea, O'ahu",Surfing,N,"Tiger shark, 4.3 m [14']"
AUSTRALIA,Avalon Beach,Scuba diving,N,Grey nurse shark
BRAZIL,"Praia de São Marcus, Sáo Luiz",Boogie boarding,N,Unknown
AUSTRALIA,"North Point Beach, Moreton Island",Surfing,Y,4.2 m white shark
BRAZIL,"Boa Viagem, Recife",Body boarding,N,Unknown
USA,"Gold Beach, Curry County",Surfing,N,4 m to 5 m [13' to 16.5']  white shark
USA,"South Jetty, New Smyrna Beach, Volusia County",Standing,N,Unknown
BRAZIL,"Boa Viagem, Recife",Swimming,Y,Unknown
USA,St Lucie County,Surf fishing,N,Unknown
BAHAMAS,Double Breasted Cays ,"Snorkeling, carrying a speared fish in her hand",N,1.8 m [6'] blacktip shark
AUSTRALIA,"Lipson Cove, Tumby Bay",Surfing,N,4 m white shark
USA,"Twin Arches, Hana Ranch, Maui",Fell from cliff while fishing & disappeared in strong current,N,Questionable incident
USA,"Klamath River, Del Norte County",Surfing,N,5.5 m to 6 m [18' to 20'] white shark
USA,"Manalapan, Palm Beach County",Snorkeling,N,"Nurse shark, 3', 20-lb"
USA,St. Lucie County,Fisherman,N,Questionable incident
USA,"Wai'anae, O'ahu","Zosimo & his son, Jeffrey Popa, failed to return from overnight fishing trip in a 14' boat, Boat apparently sank, debris recovered but his son & boat were never found",N,Invalid
USA,"Manasota Beach, Sarasota County",Standing,N,"""a small shark"""
BRAZIL,"Praia da Marcela, São Marcos Bay",Surfing,N,Unknown
BRAZIL,"Praia da Marcela, São Marcos Bay",Surfing,N,Unknown
BRAZIL,Piedade,Swimming,Y,Unknown
REUNION,Cap de la Marianne,Surfing,Y,Bull shark or lemon shark
VANUATU,"Port Sandwich, Malakula",Swimming,N,Unknown
JAPAN,"1.5 km north of Igata-cho, 60 km south of Matsyama",Preparing to fish for jack-mackerel,N,"White shark, identification by K. Nakaya"
USA,Wreck of the U-352 ,Scuba diving ,N,Shark involvement prior to death was not confirmed
REUNION,Lieu-dit Cayenne,Surfing,Y,"Tiger shark, 3 m to 4 m [10' to 13']"
MEXICO,Isla Mujeres,Scuba diving & filming,N,Unknown
NEW ZEALAND,"Meteorologic Station on Campbell Island, 370 nautical miles south of New Zealand",Snorkeling,N,"4 m [13'], 590-kg white shark"
SOUTH AFRICA,Nahoon,Surfing,N,>2 m shark
USA,"Cannons, at Ha'ena on the north shore of Kaua'i Island","Surfing, paddling seawards",N,Tiger shark
AUSTRALIA,Point Lonsdale,Surfing,N,"Bronze whaler shark, 3 m"
JAPAN,Matsuyama,Hookah diving for pen shells ,Y,"5 m [16.5'] white shark, identification by K. Nakaya"
JAPAN,"Nagahama-cho, 40 km southwest of Matsuyama ","Fishing for yellowtail, Seriola quinqueradiata",N,Unknown
USA,"Winchester Bay, Douglas County",Surfing (sitting on his board),N,Said to involve a 6 m to 7 m [20' to 23'] white shark
USA,"Leftovers, near Waimea Bay, O'ahu",Body boarding,Y,Tiger shark?
JAPAN,Matsuyama,Diving for pen shells,N,5 m [16.5'] shark
AUSTRALIA,"Clifton Beach, southwest of Hobart",Surfing,N,Questionable incident
REUNION,Revine-3-Bassins,Spearfishing,N,1.8 m grey shark
AUSTRALIA,Tweed Heads,Boogie boarding,N,"Bronze whaler shark, 2.3 m [7.5']"
SOUTH AFRICA,Isipingo,Swimming ,N,"Zambesi shark, 1.7 m [5.5']"
SOUTH AFRICA,Sheffield Beach,Spearfishing,N,Possibly a 1.5 m [5'] blacktip shark
MAURITIUS,Mahebourg,Fishing,N,Grey reef shark
JAPAN,Matsuyama,,N,Unknown
JAPAN,Kanazawa?,,N,Questionable incident
USA,"Shelter Cover, north of Fort Bragg, Shelter Cove, Mendocino County",Hookah diving for sea urchins,N,6 m [20'] white shark
USA,"Olowalu, Maui",Snorkeling,Y,"Tiger shark, 2.4 m 3.4 m [8' to 11']"
USA,"Olowalu, Maui",Snorkeling,N,"Tiger shark, 2.4 m 3.4 m [8' to 11']"
USA,"Maliko Point, Maui","Fishing from rocks, swept out to sea by large wave & treading water",Y,"Tiger shark, 3.7 m [12']"
USA,Near Port Canaveral Coast Guard Base,Fishing,N,2.4 m [8'] shark
AUSTRALIA,"Backbeach, Halls Head",Boogie boarding,N,"""small shark"""
USA,"Melbourne Beach, Brevard County",Surfing,N,1.8 m [6'] shark
USA,"Horseshoe Reef, Scott Creek, Davenport, Santa Cruz County",Surfing,N,5 m to 6 m [16.5' to 20'] white shark
BAHAMAS,Bimini,Spearfishing,N,Invalid
AUSTRALIA,"Snapper Point, Aldinga Beach, Adelaide",Scuba diving,Y,4 m [13'] white shark
AUSTRALIA,"On board the Japanese longline trawler Fukuya No.38, 100 nm northeast of Brisbane",Finning the shark that bit him,N,"3 m [10'], 270- kg [595-lb] shark"
USA,"Myrtle Beach, Horry County",Swimming,N,sand shark
USA,"Vero Beach, Indian River County",Wading,N,3' shark
USA,Florida Bay,Fishing,N,"Lemon shark, 30-lb"
ITALY,"Portofino, 20 miles offshore, Tigullio Bay, Santa Margherita Ligure (Liguria)",Canoeing,N,4 m [13'] white shark
USA,"John Pennekamp Marine Park, Monroe County",Snorkeling,N,"2.1 m [7'], 140-lb reef shark"
USA,150 miles from Crystal River,Swimming from makeshift raft  to life vest after fishing boat sank,N,1.8 m [6'] blacktip shark
USA,"South Miami Beach, Dade County",Swimming,N,Unknown
REUNION,"Ravine des Sables, Saint Leu",Surfing,N,"Tiger shark, 3 to 4 m [10' to 13']"
USA,"8.5 miles south of Ano Nuevo State Reserve, Davenport County",Surfing,N,5 m [16.5'] white shark
USA,"Croatan Beach, Virginia Beach, ",Boogie boarding,N,Shark involvement not confirmed
HONG KONG,"Basalt Island, 9km from Silverstrand",,Y,Unknown
HONG KONG,Sai Kung,Fishing,Y,Unknown
USA,"Jacksonville Beach, Duval County",Surfing,N,Unknown
USA,"Tampa Bay, Hillsborough County",Swimming behind sailboat,N,2.7 m [9'] bull or lemon shark
HONG KONG,"Silverstrand Beach, near Hung Hau ",Swimming ,Y,"Tiger shark, >3 m [10']"
USA,"Ma'ili Beach, O'ahu",Sitting on surfboard,N,2.4 m [8'] shark
SOUTH AFRICA,Gordon’s Bay,Scuba diving,N,"3.5 m [11.5'] female white shark named ""Notchfin"""
BRAZIL,"Praia de Pau Amarelo, Recife",Fishing,N,"170-kg, 2.8 m shark"
USA,Baltimore Aquarium,Diving,N,7' female shark
USA,"South of Ponce Inlet, New Smyrna Beach, Volusia County","Surfing, collided with shark",N,1.2 m to 1.5 m [4' to 5'] shark
USA,"One'ula Beach Park, 'Ewa Beach, O'ahu",Sitting on surfboard,N,"""Shark had a very large girth"""
AUSTRALIA,Bass Point,Scuba diving,N,"Grey nurse shark, 2 m"
USA,"Neskowin, Tillamook County",Surfing,N,5.5 m [18'] white shark
SOUTH AFRICA,Miller’s Point,Spearfishing,N,5.5 m [18'] white shark
AUSTRALIA,Mermaid Waters,Swimming,N,Unknown
AUSTRALIA,Scarborough,Surf-skiing,N,4 m shark
AUSTRALIA,Pelican Banks near Gladstone,Surfing (or sailboarding),N,2 m shark
SOUTH AFRICA,Port Elizabeth,,N,Questionable incident
AUSTRALIA,Nerang River,Swimming ,N,1.5 m shark
USA,"Monastery Beach, Carmel Bay, Monterey County",Scuba diving (but on surface),N,4 m to 5 m [13' to 16.5'] white shark
USA,"Spanish River Park Beach, Palm Beach County",Surfing,N,5' shark
USA,"Melbourne Beach, Brevard County",Surfing,N,1.8 m [6'] shark
USA,"Indialantic, Brevard County",Surfing,N,Unknown
AUSTRALIA,Mermaid Waters,Swimming,N,Unknown
AUSTRALIA,Goolwa Beach,Surfing,N,Unknown
USA,"North end of County Beach, Palm Beach County",Surfing,N,4' spinner shark
USA,"Hanalei Point, Kaua'i",Surfing,N,"Tiger shark, 3.7 m [12']"
