Country,Location,Activity,Fatal Y/N,Species,Latitude,Longitude
PHILIPPINES,"Pangasinan, Ilocos Norte, Luzon Island",Fishing,M,Unknown,14.0815,123.1071
USA,"Ponce Inlet, Volusia County",Surfing,N,Unknown,29.0963729,-80.9369983
AUSTRALIA,"Lighthouse Beach, Port Macquarie ",Surfing,N,"White shark, 3.8-4.2m",-31.5333657,152.8726598
USA,"Oak Island, Brunswick County",Wading,N,Unknown,33.9165623,-78.161106
USA,"Pebble Beach, San Mateo County",Kayak fishing,N,Unknown,37.2369952,-122.4159993
BAHAMAS,"Saunders Beach, Nassau",,N,Unknown,25.0793826,-77.3709155
SPAIN,Rabdells Beach,Wading,N,Blue shark,40.0,-4.0
PORTUGAL, 9 nm off Vila do Conde ,Fishing,N,Blue shark,41.35481,-8.7434
SAMOA,Lano,Towing a dead whale out to sea,Y,Unknown,-13.61693,-172.2025415
USA,Rockaway,Wading,N,Unknown,40.9012101,-74.5143232
USA,"Anna Maria Island, Manatee County",Spearfishing,N,Unknown,27.529362,-82.7324345
USA,Tampa Bay,Swimming,N,Unknown,27.6886419,-82.5723193
AUSTRALIA,Gnarabup Beach ,Surfing,N,Wfite shark,-33.9901616,114.9910297
AUSTRALIA,Yallingup Lagoon,Snorkeling,N,Wobbegong shark,-33.6391005,115.0239184
USA,"Sea Pines Beach, Hilton Head Island, Beaufort County",Boogie boarding,N,8' shark,32.1114899,-80.8240145
COLOMBIA,Nirvana,Freediving,N,Oceanic whitetip shark,4.6466541,-74.0734192
SOUTH AFRICA,Chinta East ,Watching the sardine run,N,Unknown,-29.0,24.0
ECUADOR,Mosquera Islet,Snorkeling,N,Unknown,-1.25,-78.25
USA,"Cherry Grove, Suffolk County",Standing,N,4' shark,40.6595263,-73.0902132
USA,"Fire Island Pines, Suffolk County",Swimming,N,3' shark,40.6656078,-73.0689516
USA,"Quogue Village Beach, Suffolk County",Swimming,N,Unknown,40.8090031,-72.5969275
USA,"Kismet Beach, Suffolk County",Surfing,N,Unknown,40.94046,-72.68524
USA,"Beach 3, Robert Moses State Park, Suffolk County",Swimming,N,Sand tiger shark,40.62316,-73.25984
USA,"Cocoa Beach, Brevard County",Swimming,N,Unknown,28.3184107,-80.6094959
USA,"Flamingo Marina, Homestead, Miami-Dade County",Fishing,N,Unknown,25.46872,-80.47756
USA,Laysan,Filming,N,Tiger sharks,25.7694721,-171.73374
EGYPT,"Dream Beach, Hurguda",Swimming,Y,"Tiger shark, 13'",27.0,30.0
BAHAMAS,Shark Junction,Scuba diving,N,Caribbean rreef shark,25.04082,-77.37122
FRENCH POLYNESIA,"Matavai Bay, Arue, Papetee",Kite surfing,N,"Grey reef shark, 2 m",-15.0,-140.0
NEW CALEDONIA,Twagne,Spearfishing,Y,Unknown,-21.5,165.5
BAHAMAS,Athol Island,Jumped overboard,Y,Shark involvement not confirmes,25.0754506,-77.2666572
USA,Sea Quest Aquarium Layton Davis County,Shark Feeding,N,"18"" - 23"" Horn shark",41.06022,-111.97105
USA,"Stone Harbor, Cape May County",Surfing,N,Unknown,39.0537129,-74.7584461
USA,"Flagship Drive, Summerland Key, Monroe County",Fishing,N,Unknown,24.6657,-81.4423
USA,"Marathon, Monroe County",Spearfishing,N,Unknown,24.7137524,-81.0903512
USA,"Isle of Palms, Charleston County",Swimming,N,Unknown,32.7867697,-79.7880359
AUSTRALIA,Elliston,Surfing,Y,White shark,-33.5402435,135.3849446
USA,"Fort Pierce, St. Lucie County",Sitting,N,"Bull shark, 4'",27.4467056,-80.3256056
USA,"Kualoa, Oahu",Kayak fishing,N,Tiger shark,43.323377,-74.985885
CUBA,Puerto Escondido,Spearfishing,Y,Bull shark,23.1420438,-81.7250991
USA,"Davis Reef, Islamorada, Monroe County",Spearfishing,N,Unknown,24.9243,-80.62784
SOUTH AFRICA,"Supertubes, Jeffreys Bay",Surfing,N,Unknown,-34.05065,24.9195
SOUTH AFRICA,Mngcibe Beach,Diving for crayfish,N,Unknown,-29.0,24.0
AUSTRALIA,"Yallingup, Busselton",Swimming,N,1m shark,-33.6395258,115.0259595
AUSTRALIA,"Kurrajong Campground, Exnouth",Snorkeling,N,Unknown,-25.0,135.0
AUSTRALIA,Lucy's Beach,Surfing,N,"Bronze whaler shark, 1.5 m",-33.27443,151.54614
USA,"Virginia Key, Monroe County",Windsurfing,N,Unknown,43.16512,-77.63626
USA,Off Boca Raton. Palm Beach County,Kayak fishing,N,Unknown,26.35869,-80.0831
USA,"Kewalos, Oahu",Surfing,N,"Tiger shark, 8'-10'",38.882352,-105.937359
