Country,Location,Activity,Fatal Y/N,Species,Latitude,Longitude
NEW ZEALAND,Clark Island,Swimming to shore from capsized kayak,Y,"White shark, 2.8 to 3 m",-41.1712464,174.0225326
AUSTRALIA,Coffee Head,Surfing,N,Unknown,-27.477239,153.0155572
AUSTRALIA,Hawks Nest Beach,Rowing,N,White shark,-33.27443,151.54614
USA,"Adventure Aquarium, Camden",Diving,N,"Sandtiger shark, 8'",39.9454427,-75.1314961
USA,"Lori Wilson Park, Cocoa Beach, Brevard County",Wading,N,6' shark,28.3365822,-80.6085123
USA,"Loch Lomond, Marin County",Fishing,N,Thresher shark,37.9723854,-122.4822441
AUSTRALIA,Second Valley,Kayaking,N,2 m shark,-35.5146849,138.2192418
USA,"Davenport, Santa Cruz County",Surfing,N,Unknown,37.0116166,-122.1919134
AUSTRALIA,Portland,Kayaking,N,"White shark, 4m",-38.3456231,141.6042304
MOZAMBIQUE,Off Vilanculo,Spearfishing,N,Zambesi shark,-18.25,35.0
AUSTRALIA,Lennox Heads,Paddle-boarding,N,Unknown,-28.6976405,153.5941096
USA,"Kalama Park, Maui",Surfing,N,6' to 8' shark,20.7315443,-156.4530373
PANAMA,Playa La Cabaña ,Wading,N,Unknown,9.3487206,-82.2542502
SCOTLAND,Deep Sea World Aquarium,Diving,N,Angel shark,50.9126697,-2.9302592
UNITED KINGDOM,Mewstone Rock,Fishing,N,Spurdog,50.5443176,-4.919009
USA,"Key Colony Beach, Monroe County",Swimming,N,"Bull shark, 8'",24.7209744,-81.0186827
SOMALIA,300 miles off the coast ,Fishing,N,Unknown,6.0,48.0
BRAZIL,"Piedade, Recife",,Y,Unknown,-7.988608,-34.9305528
USA,"Corolla, Currituck County",Swimming,Y,Shark involvement prior to death not confirmed,36.3847464,-75.8286983
NEVIS,Castle Beach,Swimming,N,Invalid,46.96524,-94.83946
SOLOMON ISLANDS,"Kirakira, Makira Island (formerly San Cristobal)",Fishing,N,Unknown,-10.55109,161.8281
SOUTH AFRICA,Glentana,Surfing,Y,White shark,-34.049324,22.315192
USA,"Terramar Beach, Carlsbad, San Diego County",Swimming,N,"White shark, 5' to 6' juvenile",33.15809,-117.35059
SOUTH AFRICA,Alkantstrand ,Body boarding,N,"White shark, 2m",-28.8009983,32.0963971
USA,"Ponce, Volusia County",Swimming,N,Unknown,29.0963729,-80.9369983
USA,Kawa'a ,Surfing,N,"Tiger shark, 12",36.317499,-91.5183908
USA,"Curlew Island, Breton Sound",Wade Fishing,N,Bull shark?,29.50077,-89.2506
BAHAMAS,Spanish Cay,Spearfishing,N,Bull shark,26.9467489,-77.5376103
KENYA,Likoni Channel,Washing his feet,Y,Unknown,1.0,38.0
SPAIN,Sant Salvador,Swimming,N,Shark involvement questionable,39.6963408,3.3535477
USA,"Intracoastal Waterway,      St. Petersburg",Swimming,N,Unknown,27.6753216,-82.6085457
SOUTH AFRICA,"Jogensfontein, Stilbaai",Surfing,N,Unknown,-34.37904,21.41722
USA,"Biscayne National Park, Miami",Swimming,N,"Nurse shark, 6'",25.6439925,-80.1664363
USA,"Shell Beach, San Luis Obispo County",Surfing,N,Shark involvement not confirmed,35.1552532,-120.672394
EGYPT,Habili Gafar,Scuba diving,N,Oceanic whitetip shark,27.0,30.0
TAIWAN,Onboard the fishing vessel Chin Sheng Fa 13  ,Fishing,N,80 kg shark,24.0,121.0
USA,"Clearwater Beach, Pinellas County",Swimming,N,5' to 8' shark,27.9774736,-82.8279313
GUAM,Ritidian Point,Spearfishing,N,"Blacktip shark, 4'",13.6504714,144.8623281
PHILIPPINES,Mabini,Swimming,N,Unknown,13.7480896,120.9407878
USA,"Carlin Park, Jupiter Inlet",Surfing,N,Unknown,26.94478,-80.07199
USA,"Walton Rocks, St Lucie County",Surfing,N,2' to 3' shark,27.3387984,-80.232924
USA,Kona,Spearfishing,N,Shark involvement not confirmed,37.1576013,-82.7387692
AUSTRALIA,Fingal Bay,Surf skiing ,N,2' to 3' shark,-32.7470423,152.1687575
SOUTH AFRICA,Umtentweni,Swimming,N,Shark involvement not confirmed,-30.713056,30.471667
USA,San Diego County,Spearfishing,N,"White shark, 12' to 15' female",32.9637838,-116.7706277
SOUTH AFRICA,2-3 km north of Sunday's River mouth,Fishing ,N,Raggedtooth shark,-29.0,24.0
AUSTRALIA,Blue Bay,Surfing,N,Bronze whaler shark?,-33.3525,151.5011111
AUSTRALIA,South Broulee,Surfing,N,Unknown,-35.853865,150.176042
AUSTRALIA,Bateman's Bay,Surfing,N,Unknown,-35.7294016,150.1948622
MALAYSIA,Pulau Payar Island,Feeding fish,N,Blacktip reef shark pup,6.064132,100.0410256
USA,Alenuihaha Channel,Swimming,N,Thought to involve a cookiecutter shark,20.5292418,-155.90323
AUSTRALIA,"The Natural Jetty, Rottnest Island",Wading,N,"Wobbegong shark, 60cm",-31.99517,115.5404
NEW CALEDONIA,Bourail,Surfing,Y,Unknown,-21.5194065,165.4417231
SOUTH AFRICA,Off Cape Point,Fishing,N,"Blue shark, 1m",-34.35704,18.4972
AUSTRALIA,Avalon,Surfing,N,2.6 m shark,-33.6365039,151.3290299
AUSTRALIA,Batt Reef,Fishing,N,Unknown,-16.4131174,145.7691578
AUSTRALIA,"Bondi Beach, Sydney",Surfing,N,"White shark, 2.5m",-33.8906977,151.2724119
AUSTRALIA,"Garden Point, Woolloomooloo Sydney Harbour","Diving, but on the surface when bitten by the shark",N,"Bull shark, 2.7 m",-33.8601378,151.2069818
USA,Quebradillas,Air Disaster,Y,Unknown,18.4288325,-66.9225514
AUSTRALIA,Cellito Beach,Surfing,N,"White shark, 12'",-33.27443,151.54614
AUSTRALIA,Sandon,Surfing,N,Unknown,-37.1678425,144.0372374
AZORES,Onboard the fishing vessel Nuevo Cedes ,Fishing,N,Unknown,37.74058,-25.67282
BRAZIL,Praia do Olho d'Aqua,,N,Shark involvement prior to death was not confirmed,-10.0,-55.0
CUBA,Guantanamo Bay,Spearfishing,N,Bull shark,19.9709396,-75.1434583
NEW ZEALAND,Alderman Islands,Fishing,N,Unknown,-36.9636055,176.086404
AUSTRALIA,"Surf Beach, Batemans Bay",Swimming,N,Unknown,-35.70658,150.17541
BRAZIL,Olho d'Água ,Swimming,N,Invalid,-7.2289861,-37.7490068
AUSTRALIA,Off Tower Hill,Fishing,N,"White shark, 5.5 m",-38.3920849,145.1798738
NEW ZEALAND,Karitane Beach,Surfing,N,Unknown,-42.0,174.0
SOUTH AFRICA,"Shark Alley, off Gansbaai",,Y,White sharks,-34.58301,19.35048
AUSTRALIA,"Windang,       Lake Illawara",Snorkeling,N,"Dusky shark, 2m",-25.0,135.0
AUSTRALIA,Binalong Bay,Surfing,N,"White shark, 5m",-41.24899,148.31215
AUSTRALIA,Fingal Beach,Surfing,N,"White shark, 3.5m",-32.7442415,152.1709248
NEW ZEALAND,Hawkes Bay,Fishing,N,"Mako shark, 3m",-43.8345039,169.8589675
ECUADOR,Isla Isabella,Surfing,N,Unknown,-2.1459028,-79.8990424
NEW ZEALAND,Haumoana ,Swimming,N,Broadnose sevengill shark,-39.6072711,176.9457704
CUBA,Guantanamo,Spearfishing,N,Bull shark,19.9709396,-75.1434583
AUSTRALIA,Port Kennedy Beach,Crabbing,N,No shark involvement,-33.88871,122.9057
AUSTRALIA,near Schouten Island,Yacht race,N,2 m shark,-27.8869433,153.4009498
AUSTRALIA,Seal Rocks,Boogie Boarding,N,Unknown,-34.455564,137.359355
AUSTRALIA,"Long Reef, north of Sydney",Kayaking,N,"White shark, 4m to 5m",-34.0401399,150.823716
USA,"Dillon Beach, Marin County",Kayaking,N,White shark,38.2507515,-122.9652768
NEW ZEALAND,Maraetai,Fishing,N,Bronze whaler shark?,-36.8807143,175.0423717
SOUTH AFRICA,Plettenberg Bay,Fishing,N,"Raggedtooth shark, 2m",-34.052778,23.369444
AUSTRALIA,Mowarry Point,Fishing,N,"White shark, 4.5 to 5 m",-37.1423163,150.0043599
MOZAMBIQUE,Chidenguele,Spearfishing,Y,Zambesi shark?,-24.908656,34.1901627
EGYPT,Elphinstone Reef,Scuba diving,N,Oceanic whitetip shark,25.309294,34.8605916
PHILIPPINES,Luzon Strait,Sinking of the cargo ship Mark Jason,N,Unknown,13.0,122.0
ECUADOR,Santa Cruz,,N,Unknown,-0.6288151,-90.3638752
AUSTRALIA,North Haven,Fishing,N,Bronze whaler shark,-34.7872004,138.4905349
TAIWAN,50 miles off Kaohsiung,Fishing boat swamped in storm,Y,Unknown,22.6533,120.33806
PHILIPPINES,"off Paoay, Ilocos Norte Province",Fishing,Y,Unknown,13.0,122.0
AUSTRALIA,"Oceanworld, Manley",Scuba diving,N,"Grey nurse shark, 3m",-25.0,135.0
AUSTRALIA,Darwin,Fishing,N,"reef shark, 1.8m",-12.46044,130.8410469
USA,"Santa Rosa Beach, Walton County",Fishing,N,Unknown,30.3466423,-86.2307992
CROATIA,"Smokvina Bay, Vis Island",Spearfishing,N,5 m white shark,45.16667,15.5
USA,Bethune Beach,Surfing,N,+3' shark,28.9491539,-80.83783
AUSTRALIA,Near Croker Island,Swimming,N,Bronze whaler shark,-27.8869433,153.4009498
USA,"Ormond-by-the-Sea, Volusia County",Swimming,N,2' to 3' juvenile shark,29.3451855,-81.0683775
USA,"Ka'a'awa, Oahu",Surfing,N,Tiger shark,38.882352,-105.937359
AUSTRALIA,"Clarks Beach, Byron Bay",Surfing,N,3 m shark,-28.64201,153.61194
USA,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,N,Unknown,29.0645698,-80.915154
USA,Hutchinson Island,Surfing,N,Unknown,32.0982621,-81.1028898
USA,"McKenzie Beach Park in Pahoa, Hawai'i ",Swimming,N,Shark involvement not confirmed,19.53841,-154.91221
ENGLAND, Lundy Island,Fishing,N,Blue shark,51.4305937,-0.9761199
USA,"Surf City, Topsail Island, Pender County",Surfing,N,Shark involvement not confirmed,34.46961,-77.47191
USA,Buck Island,Treading water,N,8' bull shark or Caribbean reef shark,42.2961173,-121.8506148
USA,"Ala Moana Beach Park, Oah'u",Diving,N,"Tiger shark, 12'",43.241937,-75.038601
AUSTRALIA,Levys Beach,Surfing,N,8' white shark or 7-gill shark,-38.3771824,142.4317238
PANAMA,Playa Teta,Swimming or surfing,N,3'  shark,8.5068401,-79.9166689
USA,"Honokowai, Maui",Swimming,N,2' to 3' reef shark,20.953821,-156.6862836
EGYPT,Daedalus Reef,Diving,N,Oceanic whitetip shark,24.95,35.83333
USA,"Carolina Beach, New Hanover County",Body surfing,N,Shark involvement not confirmed,34.0351727,-77.8935966
USA,"Litchfield Beach, Georgetown County",,N,Unknown,33.4668348,-79.0997632
UNITED KINGDOM,"Rock-a-Nore, Hastings",Rowing an inflatable dinghy,N,"Starry smoothhound shark, 1m",50.8559008,0.5971562
USA,"Kamilo Point, Hawai'i",Wading,N,Shark involvement prior to death not confirmed,20.6480804,-156.0729952
SOUTH AFRICA,Mossel Bay,Surf skiing ,N,"White shark, 2m",-34.1832022,22.1536248
SOUTH AFRICA,Struis Bay,Spearfishing (free diving),N,"White shark, 4.5m",-34.8111916,20.036906
BRAZIL,Guarajuba,Surfing,N,Unknown,-0.8172726,-48.0027642
USA,"West Cove, Catalina Island",Kayaking,N,"White shark, 15'",44.963173,-93.656815
BRAZIL,"Punta Del Chifre, Olinda",Surfing,N,Unknown,-8.00889,-34.85528
SCOTLAND,Balintore Bay,Fishing,N,Basking shark,57.7582511,-3.906938
USA,Cherry Grove,Body surfing,N,5' shark,45.7998874,-122.5790981
USA,"Hammocks Beach State Park, Bear Island, Onslow County",Surfing,N,Unknown,34.631,-77.14551
BAHAMAS,Off West End,Sea Disaster,N,Tiger sharks in area,26.68711,-78.97702
MEXICO,Playa Linda,Surfing,N,3 m shark,14.6706646,-92.372967
MEXICO,Pantla Beach,Surfing,Y,2 m shark,23.0,-102.0
FIJI,Turtle Island,Night diving,Y,Unknown,-16.9564873,177.3763884
AUSTRALIA,Albany,Swimming,N,"White shark, 4m",-35.0247822,117.883608
NEW CALEDONIA,Hienghène,Fishing,N,2 small bull sharks,-20.6893694,164.9440366
MEXICO,Troncones Beach,Surfing,Y,Tiger shark,23.0,-102.0
NEW CALEDONIA,Poindimié,Swimming,N,"Bull shark, 1.8m",-20.9369364,165.3342587
USA,"Solana Beach, San Diego County",Swimming,Y,"White shark, 12' to 15'",32.9905597,-117.269131
MEXICO,"Delfines Beach, Cancun",Swimming,N,"Reported by media as shark attack, but shark involvement prior to death was not confirmed",21.17429,-86.84656
AUSTRALIA,"Duranbah, Greenmount Beach",Surfing,N,Shark involvement not confirmed; thought to be a barracuda bite,-28.2952093,153.5741515
USA,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,N,1.5' to 2' shark,28.78627,-80.75415
USA,"Palm Beach Shores, Palm Beach County",Wading,N,6' shark,26.7781183,-80.0355962
USA,"1.4 miles south of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Surfing,N,Unknown,40.29867,-83.06797
USA,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,N,Unknown,40.29867,-83.06797
SOUTH AFRICA,Scottburgh,Fishing from surfski,N,Unknown,-30.286041,30.754365
USA,"New Smyrna Beach / Ponce Inlet, Volusia County",Surfing,N,4' to 5' shark,29.09637,-80.937
USA,"Near Cocoa Beach, Brevard  County",Boogie Boarding,N,a small shark,28.32001,-80.60755
USA,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",Wading,N,Unknown,29.02582,-80.927
USA,"Lovers Key State Park, Bonita Springs, Lee County",Jet skiing,N,Shark involvement not confirmed,26.3968751,-81.8729621
USA," Huntington Beach, Orange County",Surfing,N,White shark,33.6783336,-118.000016
BAHAMAS,"Dive site known as ""The End of the Map""",Diving,Y,"A bull shark, according to some of the divers on the boat",25.04082,-77.37122
FRENCH POLYNESIA,Tahiti,Spearfishing,N,Unknown,-17.6873439,-149.4451681
AUSTRALIA,Horseshoe Bay,Surfing,N,1 m shark,-19.1244,146.853873
USA,"Opposite Patrick Air Force Base, Brevard County",Surf-skiing,N,3' shark,28.23809,-80.6079
SOUTH AFRICA,"Suncoast Pirates Beach, Durban",Surf-skiing,N,"Blacktip shark, 2m",-29.8380316,31.0358028
AUSTRALIA,200 km east of Coolangatta  ,Accidentally stood on hooked shark's tail before attempting to gut it ,N,"Mako shark, 90kg",-37.808575,144.9706103
NEW ZEALAND,Marfells Beach,Wading,N,No shark involvement,-41.724876,174.2057564
NEW ZEALAND,Omaha Beach,Attempting to chase shark out to sea,N,"Bronze whaler shark, 4m",-36.334762,174.7795482
USA,"Off Fort Pierce, St. Lucie County",Fishing for snapper,N,"Nurse shark, 10'",27.3931017,-80.3716778
MEXICO,Playas de Tijuana,Surfing,N,Possibly a hammerhead shark,32.531474,-117.1161994
ECUADOR,San Cristobal Island,Surfing,N,3 m shark,-0.81648,-89.42015
AUSTRALIA,Jimmy's Beach,Surfing,N,2 m shark,-32.6818,152.2012
AUSTRALIA,South Stradbroke Island,Swimming,N,"""a small shark""",-27.8357175,153.4192648
AUSTRALIA,Bondi ,Swimming,N,Not a shark attack; it was a hoax,-33.8930556,151.2633333
USA,"Waialua Bay, O'ahu",Surfing,N,Tiger shark,38.567408,-106.61092
NEW ZEALAND,Kaikoura,Surfing,N,Unknown,-42.4005999,173.6811428
BRAZIL,Itamaracá,Removing fish from a trap,N,2.27 m shark,-3.8734921,-40.3691794
AUSTRALIA,In a tidal creek    5 km from Wickham,Fishing,N,reef shark,-32.91923,151.75693
SOUTH AFRICA,The Strand,Surfing,N,1.5 to 2 m shark,-33.8642891,25.6025915
USA,"Round Island Park, Indian River County",Surfing,N,5' shark,27.5612455,-80.3267436
SOUTH AFRICA,Bonza Bay,Surfing,N,"White shark, 3m to 4m",-32.9731677,27.958663
USA,"Wailea, Maui",Floating,N,Tiger shark,20.6871749,-156.4390415
AUSTRALIA,Byron Bay,Surf-skiing,N,"White shark, 2.5m",-28.6483333,153.6177778
AUSTRALIA,Holmes Reef,Spearfishing,N,Bronze whaler shark,-36.7366039,144.2676494
USA,"Venice Pier, Venice, Los Angeles County",Surfing,N,3' to 4' shark,33.9777562,-118.4691093
USA,"Santa Monica, Los Angeles County",Surfing,N,Unknown,34.0194704,-118.491227
PHILIPPINES,Off Cagayancillo,"The 426-ton cargo ship Mia, laden with cement, capsized in heavy seas ",Y,Unknown,9.57694,121.20722
NEW CALEDONIA,"Bay of Luengoni, Lifou Island",Swimming,Y,White shark,-20.88333,167.21667
BAHAMAS,Sweetings Cay,Spearfishing,N,Caribbean reef shark,26.6201497,-77.8588655
USA,"Moonstone Beach, Humboldt County",Surfing,N,White shark,41.0297707,-124.110091
EGYPT,Daedalus Reef ,Swimming,N,Oceanic whitetip sharks were in the vicinity,24.95,35.83333
USA,Jupiter Inlet,Scuba diving,N,Shark involvement prior to death was not confirmed,26.9489465,-80.0747637
USA,Huguenot Park,Surfing,N,4' shark,40.9228769,-73.7942996
SOLOMON ISLANDS,Kicha Island,Spearfishing,N,Gray reef shark,-8.78962,158.31986
USA,North Carolina Aquarium at Fort Fisher,Diving,N,Sand shark,33.9633315,-77.9266723
USA,"Indian River Inlet, Rehoboth Beach",Fishing,N,Sandtiger shark,38.6099251,-75.0681777
USA,"Islamorada Founder's Park, Plantation Key, Monroe County",Swimming,N,Unknown,24.98485,-80.5609
USA,"Lakewood Campground, Grand Strand, Horry County",Playing,N,Unknown,33.90448,-78.97615
USA,Sarasota Bay,Floating near boat & observing bioluminesce,N,Possibly a 6' bull shark,27.3506005,-82.5720423
USA,"Ponce Inlet,  New Smyrna Beach, Volusia County",Walking out of the water after surfing,N,Unknown,29.0645698,-80.915154
USA,"Islamorada, Monroe County",Jumped into the water,N,Possibly a 10' bull shark,24.9236561,-80.6291479
USA,"Imperial Beach, San Diego County",Surfing,N,Unknown,32.583893,-117.1130487
USA,"Malibu, Los Angeles County",Surf paddling,N,"White shark, 12'",34.035591,-118.689423
USA,"Bean Hollow State Beach, San Mateo County",Kayak Fishing,N,White shark,37.23272,-122.41498
AUSTRALIA,Direction Island,Wading,N,"Bronze whaler shark, 1.5 m",-12.0907502,96.8860578
USA,"North Topsail Beach, Onslow  County",Swimming,N,2' to 3' shark,34.4751366,-77.4580663
NORWAY,Sjøstrand,Scuba diving,N,"3' small spotted catshark, Scyliorhinus canicula",59.7975274,10.4918592
USA,"Faria Beach, Ventura County",Swimming,N,Shark involvement not confirmed,34.3190377,-119.3847029
USA,"Atlantic Beach, Carteret County",Wading,N,5' shark,34.6990505,-76.7402108
BAHAMAS,Allan-Pensacola Cay,Spearfishing,N,"Bull shark, 5'",26.97399,-77.69293
USA,Marques Island,Removing hook from shark,N,"Lemon shark, 6' female",39.301545,-79.847258
USA,"Will Rogers State Beach, Los Angeles County",Swimming,N,Unknown,34.0272628,-118.5182742
USA,"Silva's Channel, Mokuleia, O'ahu",Surfing,N,Tiger shark,38.882352,-105.937359
USA,"Turtle Beach, Siesta Key, Sarasota County",Swimming,N,3' to 4' shark,27.30199,-82.55149
AUSTRALIA,"Shelly Beach, Crescent Head",Surfing,N,Unknown,-31.1887,152.97301
USA,Garden City,Wading,N,Unknown,37.9716898,-100.8726618
USA,"Virginia Aquarium & Marine Science Center, Virginia Beach ",Reviving a sedated shark,N,A 10-year-old 94-pound pregnant blacktip reef shark,36.8211151,-75.9837181
ENGLAND,Folkestone,Fishing,N,"Lesser spotted dogfish, Scyliorhinus canicula, less than 80 cm in length",51.0791335,1.1794073
AUSTRALIA,"Warra Beach, Coral Bay",Wading,N,2.5 m shark,-23.14289,113.77094
AUSTRALIA,Warrnambool,Surfing,N,10' shark,-38.3826242,142.4814199
AUSTRALIA,Kingscliff Beach,Swimming,N,Shark involvement prior to death was not confirmed,-28.2723534,153.5815531
USA,"Keawakapu Beach, Maui",Snorkeling,N,"Tiger shark, 14'",20.7022241,-156.445705
USA,Naples,Swimming,N,6' to 8' shark,26.1421976,-81.7942944
AUSTRALIA,"Mornington Island, Gulf of Carpentaria",Swimming / jumping off a jetty,N,"""a small shark""",-17.32216,141.3531
USA,"Hutchinson Island, St. Lucie County",Body boarding,N,blacktip or spinner shark,27.2961557,-80.2161581
NEW CALEDONIA,Dumbéa,Surfing,N,Tiger shark,-22.1676665,166.4580117
USA,"Normandy Beach, Hutchinson Island,  St. Lucie County",Surfing,N,3' shark,27.29616,-80.21616
USA,"Waveland Beach, Hutchinson Island, St. Lucie County",,N,Unknown,27.29616,-80.21616
YEMEN,Ras-Alkalb,Murder,Y,Unknown,15.5,47.5
AUSTRALIA,South Golden Beach,Surfing,N,1.5 m shark,-28.4958914,153.547628
AUSTRALIA,"Moore Park, north of Bundaberg",Swimming,N,2 to 2.5 m shark,-33.8902412,151.2214957
USA,"Tiger Shores Beach, Martin County",Surfing,N,Unknown,27.08157,-80.39851
NEW ZEALAND,Penhryn Island,Spearfishing,N,Tiger shark,-42.0,174.0
NEW CALEDONIA,Kaala-Gomen ,Spearfishing (free diving),N,Tiger shark,-20.6679308,164.3959969
USA,100 miles off Ft. Myers Beach,Shrimping,N,14' shark,26.45202,-81.94814
AUSTRALIA,Cape Howe,Diving,N,"White shark, 3m",-37.5045,149.977
AUSTRALIA,Brunswick Heads,Swimming,N,Shark involvement prior to death was not confirmed,-28.538885,153.5483811
AUSTRALIA,Sandbar Beach,Surfing,N,2.4 m shark,-32.3914493,152.5204632
USA,"Smith Point, Long Island",Surfing,N,"24"" to 30"" shark",40.81677,-73.06622
USA,"Majors Bay, Kaua'i",Surfing,N,"6' to 8' shark, possibly a tiger shark",20.927488,-156.366755
FRENCH POLYNESIA,Rangiroa,Scuba Diving,N,Silvertip shark,-15.1224461,-147.546209
AUSTRALIA,"Winki Pop, Bells Beach",Surfing,N,2.5 to 3 m shark,-38.37509,144.2564
NEW ZEALAND,"Raglan, Manu Bay",Surfing,N,2 to 3 m shark,-37.81821,174.8102
SOUTH AFRICA,Cape Vidal,Fishing,N,"Raggedtooth shark, 150-kg",-28.1273367,32.5570283
AUSTRALIA,Wharton Beach,Body boarding,N,"White shark, 5m",-33.9401208,122.5268667
PHILIPPINES,"Off Bilisan Point, Hinatuarn Island",Sea Disaster,Y,Unknown,14.0815,123.1071
USA,"Siletz River mouth, Lincoln County",Surfing,N,"White shark, 16'",31.53239,-90.454
USA,Sebastian Inlet,Fishing,N,Unknown,27.8557604,-80.4535013
USA,"Isla Blanca Park, South Padre Island",Surfing,N,1' to 4' shark,26.0713946,-97.1587384
SOUTH AFRICA,Miller's Point,Spearfishing,N,Invalid,-34.2303901,18.4765432
USA,"Off Key Largo, Monroe County",Diving / Kissing the shark,N,Nurse shark,25.08652,-80.44728
USA,Onslow Beach,Surfing,N,Unknown,34.5539654,-77.2953066
USA,"Singer Island, Riviera Beach",Swimming,N,Spinner shark,26.7850625,-80.0375408
AUSTRALIA,Great Barrier Reef  ,Diving,N,No shark involvement,-16.35,145.9
SOUTH AFRICA,Noordhoek,Surfing,N,"White shark, 3.5m",-34.102778,18.38
USA,"Florence, Lane County",Surfing,N,Unknown,43.9800086,-124.1013089
AUSTRALIA,"Pennington Bay, Kangaroo Island",Surfing,N,"Bronze whaler shark, 6'",-35.8497012,137.7505022
REUNION,"Les Aigrettes, near Boucan-Canot",Body boarding,N,Unknown,-21.02855,55.22727
BRAZIL,Pina,,N,Shark involvement prior to death was not confirmed,-8.0963033,-34.8946884
ITALY,Lampedusa Island,Sea Disaster,Y,Unknown,35.51667,12.58333
REUNION,Pointe du Diable,Surfing,Y,Unknown,-21.3309974,55.4508769
SOUTH AFRICA,Danger Reef,Surfing,N,5 m shark,-29.0,24.0
SOUTH AFRICA,"Sunrise Beach, Muizenberg",Lifesaving drill,N,White shark,-34.09702,18.47969
REUNION,Le Port,Spearfishing,N,"Bull shark, 1.5m",-20.9354584,55.2916763
USA,"Newport Aquarium, Newport",Touching sharks,N,small catsharks,39.0943702,-84.4977161
USA,Oswald State Park,Surfing,N,White shark?,45.7715489,-123.9580488
USA,"Broad Beach, Malibu, Los Angeles County",Boogie Boarding,N,"Thought to involve a mako shark, but possibly a sea lion",34.0322898,-118.8485362
USA,"Sargent Beach, Matagorda County",Surf fishing,N,"Bull shark, 4' to 5'",28.78565,-96.00398
AUSTRALIA,Western Province,,N,Shark involvement prior to death was not confirmed,-25.0,135.0
USA,"Singleton Beach, Hilton Head Island, Beaufort County",Standing,N,"Angel shark, 1.2m",32.1884963,-80.6995109
SPAIN,San Juan Beach  ,Swimming,N,"Shark involvement not confirmed, injury may have been caused by a bluefish",40.0,-4.0
BRAZIL,Body recovered at Goiana,,Y,Bull or tiger shark,-16.67861,-49.25389
USA,"Debordieu Beach, Georgetown County",Body boarding,N,5' to 6' spinner or bull shark,33.3541739,-79.1529139
USA,Fort Myers,Fishing,N,Unknown,26.640628,-81.8723084
BAHAMAS,Mangrove Cay,Spearfishing,N,Unknown,24.2188205,-77.7176145
USA,"Monterey, Monterey County",Scuba diving,N,Unknown,36.600256,-121.8946388
AUSTRALIA,Waitpinga,Surfing,N,14' white shark,-35.5971658,138.5133742
USA,French Frigate Shoals,Tagging sharks,N,"Tiger shark, 15' female",23.8066952,-166.2608577
USA,"North Shore, O'ahu",Surfing,N,Unknown,38.882352,-105.937359
USA,Gun Beach,Scuba diving,N,"Tiger shark, 10' to 12'",13.5251637,144.8039164
AUSTRALIA,"Moffat Beach, Caloundra",Snorkeling,N,"Wobbegong shark, 2 m",-26.7892243,153.1386028
USA,"Alligator Reef off Islamorada, Monroe County",,N,Invalid,24.9243,-80.62784
USA,"Sebastian Inlet, Brevard County",Surfing,N,Unknown,28.30031,-80.70121
USA,"Port of the Islands, Collier County",Fishing,N,"Bull shark, 4' to bull shark",26.09924,-81.38097
AUSTRALIA,Newcastle Beach,Surfing,N,"Bronze whaler shark, a  juvenile",-32.9307639,151.785093
USA,"Marco Island, Collier County",Wading,N,Unknown,25.9372513,-81.71573
Sierra Leone,"Lumely Beach, Freetown",Fishing,Y,"3 m, 600-kg shark",8.484,-13.22994
AUSTRALIA,"Bondi, Sydney",Surfing,N,"Bronze whaler shark, 2 m",-33.8930556,151.2633333
USA,"Makena, Maui",Standing,N,5' to 7' shark,20.655027,-156.4424385
AUSTRALIA,"Golden Beach, Caloundra",Wading,N,Unknown,-26.8148943,153.1219464
AUSTRALIA,"Point Vernon, Hervey Bay",Swimming,N,Unknown,-25.2537548,152.817267
AUSTRALIA,"Brighton Beach, Adelaide",Fishing,N,4.5 m white shark,-35.2798872,138.4606929
TONGA,Tu’anuku,Swimming,Y,Tiger shark,-18.6642146,-174.0307845
USA,"Off Pu'u Ola'l, Makena, Maui",Kayaking,N,12' to 18' shark,36.74432,-94.529129
SOUTH AFRICA,Coffee Bay,Spearfishing,N,Unknown,-31.985195,29.14697
AUSTRALIA,"Off City Beach, Perth",Scuba diving,N,3.5 m white shark,-31.95224,115.8614
BAHAMAS,Sandy Cay,Diving for lobsters,N,Invalid,23.3275898,-75.1291414
AUSTRALIA,"Amity Point, North Stradbroke Island",Swimming,Y,Bull shark,-27.4509555,153.4530541
SOUTH AFRICA,Soetwater,Diving for crayfish,N,Said to involve a 1.5 m shark,-34.1640056,18.3319369
USA,"Tillamook Head, Clatsop County",Surfing,N,White shark,45.9465254,-123.9933921
AUSTRALIA,St. Crispin Reef,Spearfishing,N,Whitetip reef shark,-16.1,145.83333
AUSTRALIA,"Middle Beach, 40 km north of Adelaide",Fishing,N,4 m white shark,-34.5613739,138.4363177
AUSTRALIA,"6 km off Collendina, south of Melbourne",Fishing,N,3 m white shark,-37.8142427,144.9639677
AUSTRALIA,Flinders,Surfing,N,1.8 m shark,-20.862898,144.2526073
NEW CALEDONIA,Maré,Spearfishing,N,Unknown,-21.5044232,167.9842617
